"","W_st","R_eq_sen","R0_sen","R_eq_res","R0_res","No_trt_cat","Incidence","Vector_no","Prob_onward_tran","Risk","prevalence","vector_birth","vector_mortality","fit.adj","times","CS","CEs","CEr","CIs","CIr","CTs","CTr","CR","PS","PEs","PEr","PIs","PIr","PTs","PTr","PR","WS","WEs","WEr","WIs","WIr","WR","VS","VEs","VEr","VIs","VIr","total.cattle","treat_prop"
"R0s",0,0.999999999999998,63.4467042078255,0.899999999999998,57.1020337870429,0,115.730444699137,5000,0.5934303402594,0,0.497424651728425,0.03,0.03,0.9,3000,0.853396659560322,4.7527903367202,0,24.8712325864212,0,0,0,19.5225804172983,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4617.21398985666,172.70859364267,0,210.077416500672,0,50,0
"R0s1",0,0.999999999999993,50.8219560700516,1.12357016932474,57.1020337870429,25.0297900498898,125.148950249449,5000,0.674883002564487,16.8921798624284,0.430325300512556,0.03,0.03,0.9,3000,1.05447747068174,5.13958727923817,-4.93992807632384e-23,21.5162650256278,-1.96402345022729e-22,0.0273811254431224,-4.60518527092758e-23,22.2622890990089,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4664.99655009573,151.149658465087,-1.67974578982345e-21,183.853791439012,-1.98732099777643e-21,49.9999999999997,0.2
"R0s2",0,1,38.1972079322777,1.49492690377482,57.1020337870429,54.3887112400636,135.971778100159,5000,0.775735002943856,42.1912270739233,0.350654736748991,0.03,0.03,0.9,3000,1.38575676119016,5.58405659548908,-4.18039633119372e-20,17.5327368374496,-1.14662192339342e-19,0.0594980669907977,-6.15872087826096e-20,25.4379517388804,-1.00920240650837e-39,-4.97021485813885e-39,3.68371312746267e-59,-1.32612496409103e-40,2.09412985888627e-58,-4.52306230247498e-43,5.49840584716665e-58,-2.00584655811444e-38,5.90031190815716e-25,3.12895544592871e-24,-2.31146470750709e-44,1.22803090082148e-23,-7.30901279693343e-44,9.63938233978152e-24,4723.03738928419,124.962307191992,-1.1966464954027e-18,152.000303523815,-1.32033117137805e-18,50,0.4
"R0s3",0,1,25.5724597945038,2.23295037888048,57.1020337870429,88.8264655370461,148.04410922841,5000,0.892788351930178,79.3032337746021,0.254525210422649,0.03,0.03,0.9,3000,2.03880420570713,6.07984021471909,9.62841014150421e-19,12.7262605211325,1.66881538586423e-18,0.0971709547180065,1.6477014683075e-18,29.0579241037235,2.83164198293337e-41,1.03070237160136e-40,1.59942720123927e-59,2.73834774793267e-42,4.10070170317832e-59,2.1013894780059e-44,1.13685742034235e-58,4.09397121262379e-40,5.21559351659909e-27,2.04683099753079e-26,3.15474119775368e-45,8.03326144192187e-26,8.14990652595149e-45,6.30567833613225e-26,4795.03722890314,92.4768173527263,2.17531563613195e-17,112.485953743911,2.16796888168976e-17,50.0000000000002,0.6
"R0s4",0,0.99999999999999,12.94771165673,4.41020276794331,57.1020337870429,126.856492608913,158.570615761141,5000,0.987847286100733,125.314841947973,0.136311466743954,0.03,0.03,0.9,3000,3.95120459704641,6.51214027766494,0,6.81557333719771,0,0.138773578622745,0,32.582308209468,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4886.72017539912,51.1105387252277,0,62.1692858756545,0,49.9999999999998,0.8
"R0s5",0,0.999999999999976,6.63533758784303,8.60574658502099,57.1020337870429,139.390303882621,154.878115425135,5000,0.999816949151858,139.364788369273,0.066568648229066,0.03,0.03,0.9,3000,7.62284543999904,6.36049755339363,0,3.3284324114533,0,0.152484834613378,0,32.5357397605401,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4942.65014621586,25.8755866991054,0,31.4742670850178,0,49.9999999999994,0.9
"R0s6",0,0.999999999999999,6.00410018095433,9.51050649823878,57.1020337870429,139.161522333776,152.924749817337,5000,0.999925930483846,139.15121470715,0.0591561594312278,0.03,0.03,0.9,3000,8.41397360129688,6.28027719989062,0,2.95780797156139,0,0.152234560988409,0,32.1957066662627,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4948.69779789272,23.1469566335541,0,28.1552454737189,0,50,0.91
"R0s7",0,1,5.37286277406564,10.6278600791128,57.1020337870429,138.239032830932,150.259818294492,5000,0.999975768571744,138.235683101726,0.0516669147712838,0.03,0.03,0.9,3000,9.39085250825374,6.1708344268785,0,2.58334573856419,0,0.151225411461106,0,31.7037419148427,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4954.83549930166,20.3776971767285,0,24.7868035216431,0,50.0000000000002,0.92
"R0s8",0,1,4.74162536717694,12.0427130709908,57.1020337870429,136.332216636685,146.593781329769,5000,0.999994112700009,136.331414008027,0.0441055528380247,0.03,0.03,0.9,3000,10.6276643448412,6.02027849403567,0,2.20527764190124,0,0.149139466141245,0,30.9976400530808,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4961.06527679399,17.5668940624459,0,21.3678291435516,0,50.0000000000001,0.93
"R0s9",0,1,4.11038796028825,13.8921275409338,57.1020337870429,132.971539515034,141.459084590461,5000,0.999999073755447,132.971416350869,0.0364805835158549,0.03,0.03,0.9,3000,12.2441602096634,5.80940799139471,0,1.82402917579275,0,0.145463082054189,0,29.976939541095,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4967.3892179783,14.7136053860811,0,17.8971766356542,0,50,0.94
"R0s10",0,0.999999999999991,3.47915055339956,16.4126366222487,57.1020337870429,127.346229998016,134.048663155806,5000,0.999999925512657,127.346220512334,0.0288079380314671,0.03,0.03,0.9,3000,14.4469989439212,5.50507856902695,0,1.44039690157336,0,0.139309322664484,0,28.4682162628138,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4973.8094740522,11.816860552215,0,14.3736653955631,0,49.9999999999997,0.95
"R0s11",0,0.999999999999991,2.84791314651087,20.0504828797189,57.1020337870429,117.926086166075,122.839673089662,5000,0.999999998040317,117.926085934978,0.0211192419639995,0.03,0.03,0.9,3000,17.6260622451348,5.04475043489371,0,1.05596209819997,0,0.129004236627386,0,26.1442209851439,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4980.32826224278,8.87565917383884,0,10.7960785833177,0,49.9999999999997,0.96
"R0s12",0,0.999999999999992,2.21667573962217,25.7602105559992,57.1020337870429,101.43709848353,104.574328333536,5000,0.999999999993506,101.437098482871,0.0134842259492581,0.03,0.03,0.9,3000,22.61533431722,4.29463360712673,0,0.674211297462907,0,0.110966249122658,0,22.3048545290687,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4986.94786835964,5.88896992048093,0,7.16316172028161,0,50.0000000000011,0.97
"R0s13",0,0.999999999957287,1.58543833273348,36.0165593360881,57.1020337870429,69.3899555506071,70.8060770924009,5000,1,69.3899555506071,0.00608667638485857,0.03,0.03,0.9,3000,31.5769921115815,2.90784710851749,0,0.304333819242929,0,0.0759085503169295,0,15.1349184103413,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4993.67064946458,2.85572931258006,0,3.47362122274567,0,50.0000000000001,0.98
