"","W_st","R_eq_sen","R0_sen","R_eq_res","R0_res","No_trt_cat","Incidence","Vector_no","Prob_onward_tran","Risk","prevalence","vector_birth","vector_mortality","fit.adj"
"R0s",0,0.999999999999998,63.4467042078255,0.899999999999998,57.1020337870429,0,115.730444699137,5000,0.5934303402594,0,0.497424651728425,0.03,0.03,0.9
"R0s1",0,0.999999999999993,50.8219560700516,1.12357016932474,57.1020337870429,25.0297900498898,125.148950249449,5000,0.674883002564487,16.8921798624284,0.430325300512556,0.03,0.03,0.9
"R0s2",0,1,38.1972079322777,1.49492690377482,57.1020337870429,54.3887112400636,135.971778100159,5000,0.775735002943856,42.1912270739233,0.350654736748991,0.03,0.03,0.9
"R0s3",0,1,25.5724597945038,2.23295037888048,57.1020337870429,88.8264655370461,148.04410922841,5000,0.892788351930178,79.3032337746021,0.254525210422649,0.03,0.03,0.9
"R0s4",0,0.99999999999999,12.94771165673,4.41020276794331,57.1020337870429,126.856492608913,158.570615761141,5000,0.987847286100733,125.314841947973,0.136311466743954,0.03,0.03,0.9
"R0s5",0,0.999999999999976,6.63533758784303,8.60574658502099,57.1020337870429,139.390303882621,154.878115425135,5000,0.999816949151858,139.364788369273,0.066568648229066,0.03,0.03,0.9
"R0s6",0,0.999999999999999,6.00410018095433,9.51050649823878,57.1020337870429,139.161522333776,152.924749817337,5000,0.999925930483846,139.15121470715,0.0591561594312278,0.03,0.03,0.9
"R0s7",0,1,5.37286277406564,10.6278600791128,57.1020337870429,138.239032830932,150.259818294492,5000,0.999975768571744,138.235683101726,0.0516669147712838,0.03,0.03,0.9
"R0s8",0,1,4.74162536717694,12.0427130709908,57.1020337870429,136.332216636685,146.593781329769,5000,0.999994112700009,136.331414008027,0.0441055528380247,0.03,0.03,0.9
"R0s9",0,1,4.11038796028825,13.8921275409338,57.1020337870429,132.971539515034,141.459084590461,5000,0.999999073755447,132.971416350869,0.0364805835158549,0.03,0.03,0.9
"R0s10",0,0.999999999999991,3.47915055339956,16.4126366222487,57.1020337870429,127.346229998016,134.048663155806,5000,0.999999925512657,127.346220512334,0.0288079380314671,0.03,0.03,0.9
"R0s11",0,0.999999999999991,2.84791314651087,20.0504828797189,57.1020337870429,117.926086166075,122.839673089662,5000,0.999999998040317,117.926085934978,0.0211192419639995,0.03,0.03,0.9
"R0s12",0,0.999999999999992,2.21667573962217,25.7602105559992,57.1020337870429,101.43709848353,104.574328333536,5000,0.999999999993506,101.437098482871,0.0134842259492581,0.03,0.03,0.9
"R0s13",0,0.999999999957287,1.58543833273348,36.0165593360881,57.1020337870429,69.3899555506071,70.8060770924009,5000,1,69.3899555506071,0.00608667638485857,0.03,0.03,0.9
"R0s14",0,0.95210135247153,0.954200925844785,56.9763894846212,57.1020337870429,0.399270766339248,0.403062383975034,5000,1,0.399270766339248,1.7334527224667e-05,0.03,0.03,0.9
"R0s15",0,0.999999999999989,17.4101447705352,0.89999999999999,15.6691302934817,0,110.709132483165,5000,0.593430340259397,0,0.475842392308766,0.06,0.06,0.9
"R0s16",0,0.999999999999995,13.9458404301519,1.12357016932474,15.6691302934817,23.6733130012948,118.366565006474,5000,0.674883002564488,15.9767165589628,0.407004034436751,0.06,0.06,0.9
"R0s17",0,1.00000000000001,10.4815360897685,1.49492690377484,15.6691302934817,50.4569862766906,126.142465691727,5000,0.775735002943859,39.1412503978869,0.325306131301885,0.06,0.06,0.9
"R0s18",0,0.999999999999992,7.01723174938518,2.23295037888045,15.6691302934817,79.1546671719536,131.924445286589,5000,0.892788351930175,70.66836485203,0.226811437290317,0.06,0.06,0.9
"R0s19",0,1.00000000000001,3.55292740900184,4.41020276794339,15.6691302934817,98.6236181325831,123.279522665729,5000,0.987847286100734,97.4250735177074,0.105974316069838,0.06,0.06,0.9
"R0s20",0,1.00000000000084,1.82077523881016,8.60574658502845,15.6691302934817,73.8599547531207,82.0666163923716,5000,0.99981694915186,73.8464346257596,0.0352733096149611,0.06,0.06,0.9
"R0s21",0,1.00000000001268,1.64756002179099,9.51050649835936,15.6691302934817,65.5150155521232,71.9945225848596,5000,0.999925930483855,65.510162886621,0.0278497722656782,0.06,0.06,0.9
"R0s22",0,1.00000000002501,1.47434480477183,10.6278600793785,15.6691302934817,54.5534290711037,59.2972055121917,5000,0.999975768571751,54.5521071636014,0.0203893742062358,0.06,0.06,0.9
"R0s23",0,1.00000000037289,1.30112958775266,12.0427130754813,15.6691302934817,39.9162798631396,42.9207310374039,5000,0.999994112700035,39.9160448640266,0.0129135257537312,0.06,0.06,0.9
"R0s24",0,1.00001913967058,1.12791437073349,13.8923934316786,15.6691302934817,19.8914420578368,21.161147211084,5000,0.999999074001694,19.8914236383951,0.00545719344070363,0.06,0.06,0.9
"R0s25",0,0.953533478529997,0.954699153714324,15.6499984902618,15.6691302934817,0.203840424962932,0.213716723134154,5000,0.999999840304744,0.203840392410583,4.61122589238139e-05,0.06,0.06,0.9
"R0s26",0,0.781483929333194,0.781483936695158,15.6691301458708,15.6691302934817,1.10241359933104e-06,1.12968116904108e-06,5000,0.999999843330939,1.10241342661694e-06,1.97429935187432e-10,0.06,0.06,0.9
"R0s27",0,0.608268719676101,0.608268719675991,15.6691302934846,15.6691302934817,3.38658936764372e-13,3.40739146607252e-13,5000,0.999999843330962,3.38658883707002e-13,4.50185749724277e-17,0.06,0.06,0.9
"R0s28",0,0.435053502656685,0.435053502656823,15.6691302934767,15.6691302934817,2.62420576769988e-21,2.60852350302287e-21,5000,0.999999843330962,2.62420535656808e-21,2.30187368597165e-25,0.06,0.06,0.9
"R0s29",0,0.26183828563766,0.261838285637655,15.669130293482,15.6691302934817,4.18412929190561e-32,4.14408225226359e-32,5000,0.999999843330962,4.1841286363821e-32,1.81655931855623e-36,0.06,0.06,0.9
"R0s30",0,1.00000000000001,6.36992669076753,0.900000000000008,5.73293402169078,0,98.8201342017917,5000,0.593430340259404,0,0.424741916155867,0.09,0.09,0.9
"R0s31",0,1,5.10242633545192,1.12357016932475,5.73293402169078,20.4598256992081,102.299128496041,5000,0.674883002564491,13.8079885998277,0.351756072459945,0.09,0.09,0.9
"R0s32",0,1.00000000000001,3.8349259801363,1.49492690377483,5.73293402169078,41.1366757902607,102.841689475652,5000,0.775735002943859,31.9111593152585,0.265216253356211,0.09,0.09,0.9
"R0s33",0,1,2.56742562482069,2.23295037888047,5.73293402169078,56.2090269160428,93.6817115267387,5000,0.892788351930177,50.1827645039729,0.161062520240563,0.09,0.09,0.9
"R0s34",0,1.00000000006098,1.29992526950507,4.4102027682123,5.73293402169078,31.5765773459174,39.4707216832619,5000,0.987847286104002,31.1928362356177,0.0339300692006796,0.09,0.09,0.9
"R0s35",0,0.666175091847217,0.666175091847264,5.73293402169037,5.73293402169078,1.19810957021514e-11,1.236885192652e-11,5000,0.996762435798877,1.19423061356159e-11,5.72181366264118e-15,0.09,0.09,0.9
"R0s36",0,0.602800074081607,0.602800074081483,5.73293402169196,5.73293402169078,1.4039956474706e-14,1.41964876679367e-14,5000,0.996762435798882,1.39945012142382e-14,5.96824387730646e-18,0.09,0.09,0.9
"R0s37",0,0.539425056315798,0.539425056315703,5.73293402169179,5.73293402169078,7.88374260270682e-18,7.82533898521108e-18,5000,0.996762435798881,7.85821847988546e-18,2.94655314632416e-21,0.09,0.09,0.9
"R0s38",0,0.476050038549898,0.476050038549922,5.73293402169049,5.73293402169078,1.87429170899254e-21,1.83115337079838e-21,5000,0.996762435798877,1.86822356925305e-21,6.06361974038336e-25,0.09,0.09,0.9
"R0s39",0,0.412675020784161,0.412675020784141,5.73293402169105,5.73293402169078,1.61248364004567e-25,1.55553825517575e-25,5000,0.996762435798879,1.60726312073776e-25,4.42382966409028e-29,0.09,0.09,0.9
"R0s40",0,0.349300003018191,0.34930000301836,5.732934021688,5.73293402169078,4.06390721169664e-30,3.88565787832315e-30,5000,0.996762435798869,4.05075005119134e-30,9.19326682242681e-34,0.09,0.09,0.9
